工资ID,员工ID,本月工时,本月时薪,本月销售额度,本月销售提成比例,本月销售提成额度,本月项目补助,本月住房补助,本月交通补助,本月通讯补助,本月伙食补助,本月高温补助,本月取暖补助,本月其他补助,本月单位养老保险金额,本月个人养老保险金额,本月单位医疗保险金额,本月个人医疗保险金额,本月单位失业保险金额,本月个人失业保险金额,本月单位工伤保险金额,本月单位生育保险金额,本月单位公积金金额,本月个人住房公积金金额,本月工资日期,本月工资金额,本月总投入金额,创建日期,备注
11,15,158.0,100,0,0.03,0,500,1500,500,500,1000,500,500,0,3160.0,1264.0,1422.0,316.0,316.0,158.0,158.0,1422.0,1896.0,1896.0,2025-08-13,15800.0,25912.0,2025-08-02 17:48:45,密码之间用户推荐经济一点.
12,16,194.0,80,100776.0,0.03,0.03,500,1500,500,500,1000,500,500,0,3104.0,1242.0,1397.0,310.0,310.0,155.0,155.0,1397.0,1862.0,1862.0,2025-08-08,18543.28,28475.28,2025-08-08 03:11:35,
13,17,192.0,80,0,0.03,0,500,1500,500,500,1000,500,500,0,3072.0,1229.0,1382.0,307.0,307.0,154.0,154.0,1382.0,1843.0,1843.0,2025-08-04,15360.0,25190.0,2025-08-04 23:32:06,
14,19,200.0,50,207700.0,0.03,0.03,500,1500,500,500,1000,500,500,0,2000.0,800.0,900.0,200.0,200.0,100.0,100.0,900.0,1200.0,1200.0,2025-08-13,16231.0,22631.0,2025-08-05 17:24:40,
15,20,192.0,50,0,0.03,0,500,1500,500,500,1000,500,500,0,1920.0,768.0,864.0,192.0,192.0,96.0,96.0,864.0,1152.0,1152.0,2025-08-07,9600.0,15744.0,2025-08-12 20:01:06,东西日期这种这是类型女人地址.
16,22,179.0,80,0,0.03,0,500,1500,500,500,1000,500,500,0,2864.0,1146.0,1289.0,286.0,286.0,143.0,143.0,1289.0,1718.0,1718.0,2025-08-03,14320.0,23484.0,2025-08-05 20:59:11,
17,23,159.0,80,0,0.03,0,500,1500,500,500,1000,500,500,0,2544.0,1018.0,1145.0,254.0,254.0,127.0,127.0,1145.0,1526.0,1526.0,2025-08-12,12720.0,20860.0,2025-08-02 02:19:22,大家留言质量之后朋友业务工作.
18,24,181.0,150,0,0.03,0,500,1500,500,500,1000,500,500,0,5430.0,2172.0,2444.0,543.0,543.0,272.0,272.0,2444.0,3258.0,3258.0,2025-08-02,27150.0,44528.0,2025-08-01 19:46:03,
19,25,198.0,80,0,0.03,0,500,1500,500,500,1000,500,500,0,3168.0,1267.0,1426.0,317.0,317.0,158.0,158.0,1426.0,1901.0,1901.0,2025-08-09,15840.0,25978.0,2025-08-01 02:23:17,朋友方法只有广告联系如何以及.
20,26,177.0,50,254715.0,0.03,0.03,500,1500,500,500,1000,500,500,0,1770.0,708.0,796.0,177.0,177.0,88.0,88.0,796.0,1062.0,1062.0,2025-08-09,16491.45,22153.45,2025-08-05 11:40:47,
21,27,193.0,100,0,0.03,0,500,1500,500,500,1000,500,500,0,3860.0,1544.0,1737.0,386.0,386.0,193.0,193.0,1737.0,2316.0,2316.0,2025-08-07,19300.0,31652.0,2025-08-08 13:42:09,
22,28,178.0,150,168669.0,0.03,0.03,500,1500,500,500,1000,500,500,0,5340.0,2136.0,2403.0,534.0,534.0,267.0,267.0,2403.0,3204.0,3204.0,2025-08-10,31760.07,48848.07,2025-08-07 20:22:06,
23,29,191.0,100,0,0.03,0,500,1500,500,500,1000,500,500,0,3820.0,1528.0,1719.0,382.0,382.0,191.0,191.0,1719.0,2292.0,2292.0,2025-08-05,19100.0,31324.0,2025-08-07 14:15:04,广告还有情况什么经验作者标准.
24,30,144.0,150,0,0.03,0,500,1500,500,500,1000,500,500,0,4320.0,1728.0,1944.0,432.0,432.0,216.0,216.0,1944.0,2592.0,2592.0,2025-08-01,21600.0,35424.0,2025-08-01 04:10:06,
25,31,181.0,80,0,0.03,0,500,1500,500,500,1000,500,500,0,2896.0,1158.0,1303.0,290.0,290.0,145.0,145.0,1303.0,1738.0,1738.0,2025-08-05,14480.0,23748.0,2025-08-05 01:48:07,
26,32,173.0,50,0,0.03,0,500,1500,500,500,1000,500,500,0,1730.0,692.0,778.0,173.0,173.0,86.0,86.0,778.0,1038.0,1038.0,2025-08-05,8650.0,14184.0,2025-08-03 08:01:07,完成注册以上已经的话比较.
27,33,141.0,50,0,0.03,0,500,1500,500,500,1000,500,500,0,1410.0,564.0,634.0,141.0,141.0,70.0,70.0,634.0,846.0,846.0,2025-08-09,7050.0,11560.0,2025-08-03 12:17:51,
28,34,194.0,50,0,0.03,0,500,1500,500,500,1000,500,500,0,1940.0,776.0,873.0,194.0,194.0,97.0,97.0,873.0,1164.0,1164.0,2025-08-10,9700.0,15908.0,2025-08-01 18:30:46,国际表示觉得原因.
29,35,197.0,80,0,0.03,0,500,1500,500,500,1000,500,500,0,3152.0,1261.0,1418.0,315.0,315.0,158.0,158.0,1418.0,1891.0,1891.0,2025-08-04,15760.0,25846.0,2025-08-02 09:10:54,
30,37,150.0,150,229.0,0.03,0.03,500,1500,500,500,1000,500,500,0,4500.0,1800.0,2025.0,450.0,450.0,225.0,225.0,2025.0,2700.0,2700.0,2025-08-05,22506.87,36906.869999999995,2025-08-01 21:40:00,
31,39,168.0,200,34216.0,0.03,0.03,500,1500,500,500,1000,500,500,0,6000.0,2400.0,2700.0,600.0,600.0,300.0,300.0,2700.0,3600.0,3600.0,2025-08-13,34626.48,53826.48,2025-08-10 16:00:52,软件本站威望活动男人决定一切.
32,40,173.0,200,0,0.03,0,500,1500,500,500,1000,500,500,0,6000.0,2400.0,2700.0,600.0,600.0,300.0,300.0,2700.0,3600.0,3600.0,2025-08-12,34600.0,53800.0,2025-08-08 00:57:49,
33,41,145.0,150,0,0.03,0,500,1500,500,500,1000,500,500,0,4350.0,1740.0,1958.0,435.0,435.0,218.0,218.0,1958.0,2610.0,2610.0,2025-08-01,21750.0,35672.0,2025-08-03 17:11:51,
34,42,167.0,50,0,0.03,0,500,1500,500,500,1000,500,500,0,1670.0,668.0,752.0,167.0,167.0,84.0,84.0,752.0,1002.0,1002.0,2025-08-08,8350.0,13696.0,2025-08-05 23:36:06,根据得到需要联系.
35,43,184.0,200,1413.0,0.03,0.03,500,1500,500,500,1000,500,500,0,6000.0,2400.0,2700.0,600.0,600.0,300.0,300.0,2700.0,3600.0,3600.0,2025-08-08,36842.39,56042.39,2025-08-10 21:23:02,任何情况建设.
36,45,172.0,150,0,0.03,0,500,1500,500,500,1000,500,500,0,5160.0,2064.0,2322.0,516.0,516.0,258.0,258.0,2322.0,3096.0,3096.0,2025-08-10,25800.0,42312.0,2025-08-09 16:35:46,
37,46,180.0,200,0,0.03,0,500,1500,500,500,1000,500,500,0,6000.0,2400.0,2700.0,600.0,600.0,300.0,300.0,2700.0,3600.0,3600.0,2025-08-05,36000.0,55200.0,2025-08-12 19:56:48,开发品牌计划政府出来帮助由于软件.
38,47,159.0,100,0,0.03,0,500,1500,500,500,1000,500,500,0,3180.0,1272.0,1431.0,318.0,318.0,159.0,159.0,1431.0,1908.0,1908.0,2025-08-10,15900.0,26076.0,2025-08-10 18:51:52,
39,48,173.0,50,0,0.03,0,500,1500,500,500,1000,500,500,0,1730.0,692.0,778.0,173.0,173.0,86.0,86.0,778.0,1038.0,1038.0,2025-08-06,8650.0,14184.0,2025-08-07 22:53:58,
40,49,170.0,200,0,0.03,0,500,1500,500,500,1000,500,500,0,6000.0,2400.0,2700.0,600.0,600.0,300.0,300.0,2700.0,3600.0,3600.0,2025-08-12,34000.0,53200.0,2025-08-04 08:57:54,
41,50,173.0,50,67074.0,0.03,0.03,500,1500,500,500,1000,500,500,0,1730.0,692.0,778.0,173.0,173.0,86.0,86.0,778.0,1038.0,1038.0,2025-08-07,10662.22,16196.22,2025-08-05 13:40:49,
42,54,155.0,100,0,0.03,0,500,1500,500,500,1000,500,500,0,3100.0,1240.0,1395.0,310.0,310.0,155.0,155.0,1395.0,1860.0,1860.0,2025-08-08,15500.0,25420.0,2025-08-01 18:42:59,孩子相关电脑也是投资帖子城市今年.
43,56,189.0,150,0,0.03,0,500,1500,500,500,1000,500,500,0,5670.0,2268.0,2552.0,567.0,567.0,284.0,284.0,2552.0,3402.0,3402.0,2025-08-09,28350.0,46496.0,2025-08-05 00:28:22,标题国内产品决定而且部分.
44,57,152.0,50,55024.0,0.03,0.03,500,1500,500,500,1000,500,500,0,1520.0,608.0,684.0,152.0,152.0,76.0,76.0,684.0,912.0,912.0,2025-08-10,9250.72,14114.72,2025-08-04 10:31:10,
45,58,155.0,150,190405.0,0.03,0.03,500,1500,500,500,1000,500,500,0,4650.0,1860.0,2092.0,465.0,465.0,232.0,232.0,2092.0,2790.0,2790.0,2025-08-03,28962.15,43840.15,2025-08-02 16:51:51,数据合作继续类别能够控制最新.
46,59,186.0,200,0,0.03,0,500,1500,500,500,1000,500,500,0,6000.0,2400.0,2700.0,600.0,600.0,300.0,300.0,2700.0,3600.0,3600.0,2025-08-05,37200.0,56400.0,2025-08-07 12:09:55,原因一个时间公司以后组织.
47,60,182.0,50,0,0.03,0,500,1500,500,500,1000,500,500,0,1820.0,728.0,819.0,182.0,182.0,91.0,91.0,819.0,1092.0,1092.0,2025-08-08,9100.0,14924.0,2025-08-12 18:58:52,
48,61,149.0,150,0,0.03,0,500,1500,500,500,1000,500,500,0,4470.0,1788.0,2012.0,447.0,447.0,224.0,224.0,2012.0,2682.0,2682.0,2025-08-13,22350.0,36656.0,2025-08-02 12:47:44,
49,62,188.0,100,0,0.03,0,500,1500,500,500,1000,500,500,0,3760.0,1504.0,1692.0,376.0,376.0,188.0,188.0,1692.0,2256.0,2256.0,2025-08-03,18800.0,30832.0,2025-08-02 11:56:58,
50,63,148.0,100,0,0.03,0,500,1500,500,500,1000,500,500,0,2960.0,1184.0,1332.0,296.0,296.0,148.0,148.0,1332.0,1776.0,1776.0,2025-08-06,14800.0,24272.0,2025-08-05 08:24:30,只是希望这是能够.
51,64,185.0,100,0,0.03,0,500,1500,500,500,1000,500,500,0,3700.0,1480.0,1665.0,370.0,370.0,185.0,185.0,1665.0,2220.0,2220.0,2025-08-11,18500.0,30340.0,2025-08-10 04:59:04,进行决定应用一些作为精华.
52,65,192.0,200,0,0.03,0,500,1500,500,500,1000,500,500,0,6000.0,2400.0,2700.0,600.0,600.0,300.0,300.0,2700.0,3600.0,3600.0,2025-08-02,38400.0,57600.0,2025-08-10 16:12:43,产品这种具有工作女人部分特别.
53,66,165.0,150,0,0.03,0,500,1500,500,500,1000,500,500,0,4950.0,1980.0,2228.0,495.0,495.0,248.0,248.0,2228.0,2970.0,2970.0,2025-08-11,24750.0,40592.0,2025-08-11 22:12:44,应用当前研究.
54,67,174.0,80,0,0.03,0,500,1500,500,500,1000,500,500,0,2784.0,1114.0,1253.0,278.0,278.0,139.0,139.0,1253.0,1670.0,1670.0,2025-08-05,13920.0,22828.0,2025-08-04 04:58:45,包括注册影响次数这是不过功能.
55,68,192.0,200,0,0.03,0,500,1500,500,500,1000,500,500,0,6000.0,2400.0,2700.0,600.0,600.0,300.0,300.0,2700.0,3600.0,3600.0,2025-08-07,38400.0,57600.0,2025-08-11 18:28:52,使用更新数据政府不能运行.
56,69,157.0,200,0,0.03,0,500,1500,500,500,1000,500,500,0,6000.0,2400.0,2700.0,600.0,600.0,300.0,300.0,2700.0,3600.0,3600.0,2025-08-01,31400.0,50600.0,2025-08-07 03:59:47,
57,70,172.0,80,0,0.03,0,500,1500,500,500,1000,500,500,0,2752.0,1101.0,1238.0,275.0,275.0,138.0,138.0,1238.0,1651.0,1651.0,2025-08-07,13760.0,22566.0,2025-08-07 18:16:59,
58,71,181.0,200,0,0.03,0,500,1500,500,500,1000,500,500,0,6000.0,2400.0,2700.0,600.0,600.0,300.0,300.0,2700.0,3600.0,3600.0,2025-08-03,36200.0,55400.0,2025-08-06 12:22:45,
59,72,196.0,80,13856.0,0.03,0.03,500,1500,500,500,1000,500,500,0,3136.0,1254.0,1411.0,314.0,314.0,157.0,157.0,1411.0,1882.0,1882.0,2025-08-08,16095.68,26131.68,2025-08-12 19:42:51,
60,73,173.0,100,0,0.03,0,500,1500,500,500,1000,500,500,0,3460.0,1384.0,1557.0,346.0,346.0,173.0,173.0,1557.0,2076.0,2076.0,2025-08-07,17300.0,28372.0,2025-08-14 00:00:06,
61,74,155.0,150,0,0.03,0,500,1500,500,500,1000,500,500,0,4650.0,1860.0,2092.0,465.0,465.0,232.0,232.0,2092.0,2790.0,2790.0,2025-08-06,23250.0,38128.0,2025-08-08 20:13:52,
62,75,176.0,50,0,0.03,0,500,1500,500,500,1000,500,500,0,1760.0,704.0,792.0,176.0,176.0,88.0,88.0,792.0,1056.0,1056.0,2025-08-05,8800.0,14432.0,2025-08-11 02:08:19,
63,76,183.0,80,0,0.03,0,500,1500,500,500,1000,500,500,0,2928.0,1171.0,1318.0,293.0,293.0,146.0,146.0,1318.0,1757.0,1757.0,2025-08-11,14640.0,24010.0,2025-08-13 07:57:55,
64,77,187.0,50,0,0.03,0,500,1500,500,500,1000,500,500,0,1870.0,748.0,842.0,187.0,187.0,94.0,94.0,842.0,1122.0,1122.0,2025-08-05,9350.0,15336.0,2025-08-13 17:00:10,评论法律本站发生知道.
65,78,164.0,80,0,0.03,0,500,1500,500,500,1000,500,500,0,2624.0,1050.0,1181.0,262.0,262.0,131.0,131.0,1181.0,1574.0,1574.0,2025-08-07,13120.0,21516.0,2025-08-04 07:28:22,回复一般今年.
66,80,162.0,100,254026.0,0.03,0.03,500,1500,500,500,1000,500,500,0,3240.0,1296.0,1458.0,324.0,324.0,162.0,162.0,1458.0,1944.0,1944.0,2025-08-02,23820.78,34188.78,2025-08-12 10:42:32,
67,81,186.0,200,203269.0,0.03,0.03,500,1500,500,500,1000,500,500,0,6000.0,2400.0,2700.0,600.0,600.0,300.0,300.0,2700.0,3600.0,3600.0,2025-08-06,43298.07,62498.07,2025-08-02 09:26:23,
68,82,180.0,100,0,0.03,0,500,1500,500,500,1000,500,500,0,3600.0,1440.0,1620.0,360.0,360.0,180.0,180.0,1620.0,2160.0,2160.0,2025-08-13,18000.0,29520.0,2025-08-11 17:44:00,世界今年名称资料因此有限.
69,83,178.0,80,0,0.03,0,500,1500,500,500,1000,500,500,0,2848.0,1139.0,1282.0,285.0,285.0,142.0,142.0,1282.0,1709.0,1709.0,2025-08-09,14240.0,23354.0,2025-08-06 14:39:01,
70,84,184.0,100,0,0.03,0,500,1500,500,500,1000,500,500,0,3680.0,1472.0,1656.0,368.0,368.0,184.0,184.0,1656.0,2208.0,2208.0,2025-08-07,18400.0,30176.0,2025-08-01 23:02:57,参加以后然后他们那个之后.
71,85,162.0,80,0,0.03,0,500,1500,500,500,1000,500,500,0,2592.0,1037.0,1166.0,259.0,259.0,130.0,130.0,1166.0,1555.0,1555.0,2025-08-05,12960.0,21254.0,2025-08-10 06:31:41,
72,87,178.0,150,0,0.03,0,500,1500,500,500,1000,500,500,0,5340.0,2136.0,2403.0,534.0,534.0,267.0,267.0,2403.0,3204.0,3204.0,2025-08-06,26700.0,43788.0,2025-08-05 02:42:09,
73,88,172.0,100,275535.0,0.03,0.03,500,1500,500,500,1000,500,500,0,3440.0,1376.0,1548.0,344.0,344.0,172.0,172.0,1548.0,2064.0,2064.0,2025-08-03,25466.05,36474.05,2025-08-11 03:48:26,
74,89,139.0,100,0,0.03,0,500,1500,500,500,1000,500,500,0,2780.0,1112.0,1251.0,278.0,278.0,139.0,139.0,1251.0,1668.0,1668.0,2025-08-01,13900.0,22796.0,2025-08-05 22:48:41,
75,90,162.0,200,0,0.03,0,500,1500,500,500,1000,500,500,0,6000.0,2400.0,2700.0,600.0,600.0,300.0,300.0,2700.0,3600.0,3600.0,2025-08-08,32400.0,51600.0,2025-08-09 10:55:03,
76,91,137.0,150,0,0.03,0,500,1500,500,500,1000,500,500,0,4110.0,1644.0,1850.0,411.0,411.0,206.0,206.0,1850.0,2466.0,2466.0,2025-08-06,20550.0,33704.0,2025-08-13 07:00:33,提供日本商品报告也是.
77,92,148.0,200,0,0.03,0,500,1500,500,500,1000,500,500,0,5920.0,2368.0,2664.0,592.0,592.0,296.0,296.0,2664.0,3552.0,3552.0,2025-08-11,29600.0,48544.0,2025-08-13 20:54:46,
78,93,139.0,100,0,0.03,0,500,1500,500,500,1000,500,500,0,2780.0,1112.0,1251.0,278.0,278.0,139.0,139.0,1251.0,1668.0,1668.0,2025-08-04,13900.0,22796.0,2025-08-03 02:18:56,
79,94,185.0,200,108949.0,0.03,0.03,500,1500,500,500,1000,500,500,0,6000.0,2400.0,2700.0,600.0,600.0,300.0,300.0,2700.0,3600.0,3600.0,2025-08-03,40268.47,59468.47,2025-08-13 17:43:22,
80,95,141.0,50,0,0.03,0,500,1500,500,500,1000,500,500,0,1410.0,564.0,634.0,141.0,141.0,70.0,70.0,634.0,846.0,846.0,2025-08-13,7050.0,11560.0,2025-08-10 12:23:31,责任政府说明关于.
81,96,140.0,200,172624.0,0.03,0.03,500,1500,500,500,1000,500,500,0,5600.0,2240.0,2520.0,560.0,560.0,280.0,280.0,2520.0,3360.0,3360.0,2025-08-03,33178.72,51098.72,2025-08-11 21:36:55,
82,97,166.0,80,0,0.03,0,500,1500,500,500,1000,500,500,0,2656.0,1062.0,1195.0,266.0,266.0,133.0,133.0,1195.0,1594.0,1594.0,2025-08-01,13280.0,21780.0,2025-08-09 05:45:38,是一关系为了.
83,98,165.0,50,280865.0,0.03,0.03,500,1500,500,500,1000,500,500,0,1650.0,660.0,742.0,165.0,165.0,82.0,82.0,742.0,990.0,990.0,2025-08-11,16675.949999999997,21953.949999999997,2025-08-05 21:03:38,
84,99,149.0,150,0,0.03,0,500,1500,500,500,1000,500,500,0,4470.0,1788.0,2012.0,447.0,447.0,224.0,224.0,2012.0,2682.0,2682.0,2025-08-09,22350.0,36656.0,2025-08-01 18:51:36,
85,101,169.0,50,0,0.03,0,500,1500,500,500,1000,500,500,0,1690.0,676.0,760.0,169.0,169.0,84.0,84.0,760.0,1014.0,1014.0,2025-08-13,8450.0,13856.0,2025-08-12 22:46:52,成为学习历史更多国家国内.
86,102,141.0,50,0,0.03,0,500,1500,500,500,1000,500,500,0,1410.0,564.0,634.0,141.0,141.0,70.0,70.0,634.0,846.0,846.0,2025-08-03,7050.0,11560.0,2025-08-02 10:18:33,社会参加发展科技.
87,103,159.0,50,0,0.03,0,500,1500,500,500,1000,500,500,0,1590.0,636.0,716.0,159.0,159.0,80.0,80.0,716.0,954.0,954.0,2025-08-07,7950.0,13040.0,2025-08-03 20:37:25,
88,105,164.0,150,145040.0,0.03,0.03,500,1500,500,500,1000,500,500,0,4920.0,1968.0,2214.0,492.0,492.0,246.0,246.0,2214.0,2952.0,2952.0,2025-08-06,28951.2,44695.2,2025-08-02 14:20:09,完成提供她的城市组织环境不会.
89,106,165.0,100,106653.0,0.03,0.03,500,1500,500,500,1000,500,500,0,3300.0,1320.0,1485.0,330.0,330.0,165.0,165.0,1485.0,1980.0,1980.0,2025-08-03,19699.59,30259.59,2025-08-03 16:54:33,
90,110,182.0,150,0,0.03,0,500,1500,500,500,1000,500,500,0,5460.0,2184.0,2457.0,546.0,546.0,273.0,273.0,2457.0,3276.0,3276.0,2025-08-09,27300.0,44772.0,2025-08-12 21:33:15,
91,111,160.0,50,198385.0,0.03,0.03,500,1500,500,500,1000,500,500,0,1600.0,640.0,720.0,160.0,160.0,80.0,80.0,720.0,960.0,960.0,2025-08-04,13951.55,19071.55,2025-08-02 06:55:54,
92,112,136.0,50,0,0.03,0,500,1500,500,500,1000,500,500,0,1360.0,544.0,612.0,136.0,136.0,68.0,68.0,612.0,816.0,816.0,2025-08-03,6800.0,11152.0,2025-08-04 13:22:48,
93,113,155.0,50,0,0.03,0,500,1500,500,500,1000,500,500,0,1550.0,620.0,698.0,155.0,155.0,78.0,78.0,698.0,930.0,930.0,2025-08-13,7750.0,12712.0,2025-08-09 09:49:13,部门一起业务注册自己以下报告.
94,114,169.0,100,0,0.03,0,500,1500,500,500,1000,500,500,0,3380.0,1352.0,1521.0,338.0,338.0,169.0,169.0,1521.0,2028.0,2028.0,2025-08-08,16900.0,27716.0,2025-08-02 01:24:47,用户专业历史北京大小同时.
95,115,197.0,150,0,0.03,0,500,1500,500,500,1000,500,500,0,5910.0,2364.0,2660.0,591.0,591.0,296.0,296.0,2660.0,3546.0,3546.0,2025-08-03,29550.0,48464.0,2025-08-01 16:03:22,运行正在看到运行时候来自.
96,117,148.0,200,0,0.03,0,500,1500,500,500,1000,500,500,0,5920.0,2368.0,2664.0,592.0,592.0,296.0,296.0,2664.0,3552.0,3552.0,2025-08-13,29600.0,48544.0,2025-08-04 11:27:40,
97,119,145.0,50,0,0.03,0,500,1500,500,500,1000,500,500,0,1450.0,580.0,652.0,145.0,145.0,72.0,72.0,652.0,870.0,870.0,2025-08-11,7250.0,11888.0,2025-08-04 20:30:47,帖子只是很多处理.
98,120,173.0,150,0,0.03,0,500,1500,500,500,1000,500,500,0,5190.0,2076.0,2336.0,519.0,519.0,260.0,260.0,2336.0,3114.0,3114.0,2025-08-04,25950.0,42560.0,2025-08-05 06:00:38,
99,121,141.0,100,0,0.03,0,500,1500,500,500,1000,500,500,0,2820.0,1128.0,1269.0,282.0,282.0,141.0,141.0,1269.0,1692.0,1692.0,2025-08-10,14100.0,23124.0,2025-08-14 14:59:45,你的环境地方类别孩子广告运行作为.
100,122,183.0,80,0,0.03,0,500,1500,500,500,1000,500,500,0,2928.0,1171.0,1318.0,293.0,293.0,146.0,146.0,1318.0,1757.0,1757.0,2025-08-12,14640.0,24010.0,2025-08-07 19:23:30,
101,123,200.0,80,0,0.03,0,500,1500,500,500,1000,500,500,0,3200.0,1280.0,1440.0,320.0,320.0,160.0,160.0,1440.0,1920.0,1920.0,2025-08-02,16000.0,26240.0,2025-08-03 03:50:16,
102,124,154.0,80,0,0.03,0,500,1500,500,500,1000,500,500,0,2464.0,986.0,1109.0,246.0,246.0,123.0,123.0,1109.0,1478.0,1478.0,2025-08-12,12320.0,20204.0,2025-08-05 02:45:51,
103,125,198.0,200,0,0.03,0,500,1500,500,500,1000,500,500,0,6000.0,2400.0,2700.0,600.0,600.0,300.0,300.0,2700.0,3600.0,3600.0,2025-08-01,39600.0,58800.0,2025-08-13 00:17:10,地方地区资源内容原因而且.
104,129,180.0,150,0,0.03,0,500,1500,500,500,1000,500,500,0,5400.0,2160.0,2430.0,540.0,540.0,270.0,270.0,2430.0,3240.0,3240.0,2025-08-06,27000.0,44280.0,2025-08-05 06:49:09,一些全部关于计划.
105,131,185.0,150,0,0.03,0,500,1500,500,500,1000,500,500,0,5550.0,2220.0,2498.0,555.0,555.0,278.0,278.0,2498.0,3330.0,3330.0,2025-08-11,27750.0,45512.0,2025-08-01 12:20:45,提供等级看到以及.
106,132,143.0,80,0,0.03,0,500,1500,500,500,1000,500,500,0,2288.0,915.0,1030.0,229.0,229.0,114.0,114.0,1030.0,1373.0,1373.0,2025-08-02,11440.0,18762.0,2025-08-12 16:33:52,
107,133,168.0,50,0,0.03,0,500,1500,500,500,1000,500,500,0,1680.0,672.0,756.0,168.0,168.0,84.0,84.0,756.0,1008.0,1008.0,2025-08-12,8400.0,13776.0,2025-08-05 09:27:06,
108,134,139.0,50,0,0.03,0,500,1500,500,500,1000,500,500,0,1390.0,556.0,626.0,139.0,139.0,70.0,70.0,626.0,834.0,834.0,2025-08-07,6950.0,11400.0,2025-08-05 17:10:11,
109,137,163.0,200,0,0.03,0,500,1500,500,500,1000,500,500,0,6000.0,2400.0,2700.0,600.0,600.0,300.0,300.0,2700.0,3600.0,3600.0,2025-08-07,32600.0,51800.0,2025-08-03 02:47:09,
110,138,138.0,200,0,0.03,0,500,1500,500,500,1000,500,500,0,5520.0,2208.0,2484.0,552.0,552.0,276.0,276.0,2484.0,3312.0,3312.0,2025-08-13,27600.0,45264.0,2025-08-06 07:31:03,
111,139,142.0,200,0,0.03,0,500,1500,500,500,1000,500,500,0,5680.0,2272.0,2556.0,568.0,568.0,284.0,284.0,2556.0,3408.0,3408.0,2025-08-06,28400.0,46576.0,2025-08-07 05:00:07,
112,140,148.0,200,63311.0,0.03,0.03,500,1500,500,500,1000,500,500,0,5920.0,2368.0,2664.0,592.0,592.0,296.0,296.0,2664.0,3552.0,3552.0,2025-08-13,31499.33,50443.33,2025-08-14 07:18:18,
113,141,178.0,50,0,0.03,0,500,1500,500,500,1000,500,500,0,1780.0,712.0,801.0,178.0,178.0,89.0,89.0,801.0,1068.0,1068.0,2025-08-11,8900.0,14596.0,2025-08-07 23:07:20,
114,143,179.0,150,0,0.03,0,500,1500,500,500,1000,500,500,0,5370.0,2148.0,2416.0,537.0,537.0,268.0,268.0,2416.0,3222.0,3222.0,2025-08-12,26850.0,44032.0,2025-08-01 15:38:55,一切他的一样游戏或者本站.
